bowler,runs_conceded,balls_bowled,wickets_taken,economy
KM Chingaipe,204,219,15.0,5.58904109589041
KM Dabengwa,44,19,0.0,13.894736842105264
KM Jarvis,299,217,18.0,8.267281105990783
KMA Aziz,95,56,1.0,10.178571428571429
KMA Paul,417,280,12.0,8.935714285714287
KMDN Kulasekara,792,661,43.0,7.189107413010589
KN Gabhane,29,18,2.0,9.666666666666668
KN Mirchandani,46,52,1.0,5.3076923076923075
KOK Williams,476,298,18.0,9.583892617449663
KP Meiyappan,185,141,9.0,7.872340425531915
KP Pietersen,46,24,1.0,11.5
KR Ebanks,103,69,3.0,8.956521739130434
KR Frost,28,47,4.0,3.574468085106383
KR Jha,33,27,2.0,7.333333333333334
KR Mayers,159,109,2.0,8.75229357798165
KRP Silva,19,12,0.0,9.5
KS Ahuja,12,6,0.0,12.0
KS Airee,152,142,5.0,6.422535211267605
KS Bagabena,353,328,15.0,6.4573170731707314
KS Leverock,271,217,10.0,7.493087557603687
KS Lokuarachchi,31,25,2.0,7.4399999999999995
KS Williamson,127,72,3.0,10.583333333333332
KT Maphaka,206,154,7.0,8.025974025974026
KV Morea,348,283,23.0,7.37809187279152
KV Sharma,29,24,1.0,7.25
KV Vakuruivalu,64,61,1.0,6.295081967213115
KW Richardson,748,556,38.0,8.071942446043167
KY Chan,603,805,66.0,4.494409937888199
KY Wilfried,100,52,2.0,11.538461538461538
Kabir Berlia,131,84,6.0,9.357142857142858
Kainat Imtiaz,40,48,5.0,5.0
Kaleem Sana,337,331,27.0,6.108761329305136
Kaleemullah,584,498,26.0,7.036144578313253
Kamal Raiz,28,43,3.0,3.906976744186047
Kamal Soukhiya,198,156,6.0,7.615384615384615
Kamran Ahmadzai,47,25,2.0,11.28
Kamran Khan (2),42,11,0.0,22.90909090909091
Kamran Wahid,126,87,8.0,8.689655172413794
Kanchan Rana,60,81,4.0,4.444444444444445
Karan KC,1283,976,70.0,7.887295081967213
Karanbir Singh,286,219,20.0,7.835616438356165
Karma Dorji,122,87,3.0,8.413793103448276
Karri Gullem Keen,187,208,11.0,5.394230769230769
Karthik Pillai,27,19,0.0,8.526315789473685
Karuna Bhandari,68,133,8.0,3.0676691729323307
Karweng NG,81,56,0.0,8.678571428571429
Kashif Daud,68,62,3.0,6.580645161290322
Kashif Khan,32,24,2.0,8.0
Kate Awuah,28,19,0.0,8.842105263157894
Kaung Htet Kyaw,78,65,2.0,7.199999999999999
Kawsar Khan,106,126,9.0,5.0476190476190474
Kerry Fraser,95,106,6.0,5.377358490566038
Khadija Imtiaz,103,113,6.0,5.469026548672566
Khadija Khalil,197,176,10.0,6.715909090909092
Khadija Tul Kubra,396,431,24.0,5.512761020881671
Khaibar Deldar,111,68,4.0,9.794117647058822
Khalander Mustafa,34,25,3.0,8.16
Khalid Ahmadi,225,208,19.0,6.490384615384615
Khalid Zahid,377,332,15.0,6.813253012048192
Khan Arbaaz,10,9,0.0,6.666666666666667
Khawar Ali,384,377,29.0,6.111405835543767
Khin Aye,132,83,3.0,9.542168674698795
Khizar Hayat,522,442,27.0,7.085972850678733
Khusboo Kandpal,96,105,5.0,5.485714285714286
Khushdil Shah,42,20,0.0,12.600000000000001
Khushi Sharma,395,388,21.0,6.108247422680412
Kim Daeyeon,164,114,9.0,8.631578947368421
Kim Rang,37,25,1.0,8.879999999999999
Kinaanath Ismail,60,25,0.0,14.399999999999999
Kiyo Fujikawa,52,62,2.0,5.032258064516129
Komalpreet Grewal,38,28,1.0,8.142857142857142
Komang Putra,21,14,0.0,9.0
Kuldeep Gurjar,133,90,9.0,8.866666666666667
Kuldeep Lal,52,30,2.0,10.4
Kuldeep Yadav,474,494,43.0,5.757085020242915
Kushal Malla,220,231,14.0,5.7142857142857135
Kyte Gullem Keen,39,45,4.0,5.2
L Anyait,90,117,6.0,4.615384615384616
L Balaji,55,46,4.0,7.173913043478261
L Barnett,142,237,10.0,3.5949367088607596
L Berthe,14,8,0.0,10.5
L Bigula,23,21,1.0,6.571428571428572
L Bonner,108,147,14.0,4.408163265306123
L Bruce,455,361,16.0,7.562326869806094
L Bull,222,305,19.0,4.367213114754099
L Cardoso,227,269,19.0,5.063197026022305
L Cheatle,28,37,3.0,4.54054054054054
L Chipanga,44,65,1.0,4.061538461538461
L Dalbina,117,147,4.0,4.775510204081632
L Delany,847,847,50.0,6.0
L Denny,311,258,18.0,7.232558139534883
L Erdenebulgan,405,268,18.0,9.067164179104477
L Filer,168,137,5.0,7.357664233576642
L Gregory,122,83,2.0,8.819277108433734
L Greig,19,25,2.0,4.5600000000000005
L Holmgaard,21,35,2.0,3.5999999999999996
L Hornby-Wheeler,34,27,0.0,7.555555555555555
L Idambo,276,366,23.0,4.524590163934426
L Jie,86,146,9.0,3.5342465753424657
L Jones,37,63,4.0,3.5238095238095237
L Karlsson,174,191,16.0,5.465968586387435
L Keny,15,33,4.0,2.727272727272727
L Khotso,64,54,1.0,7.111111111111111
L Klokgieters,36,31,0.0,6.967741935483872
L Krvaric,15,30,0.0,3.0
L Lamin,87,59,4.0,8.847457627118644
L Lee,13,12,0.0,6.5
L Little,136,88,0.0,9.272727272727273
L Mabhero,284,288,12.0,5.916666666666667
L Malino,250,296,15.0,5.0675675675675675
L Mamba,291,304,6.0,5.743421052631579
L Maritz,252,249,11.0,6.072289156626505
L Martin,22,29,4.0,4.551724137931034
L McCarthy,81,26,0.0,18.692307692307693
L Moises,182,221,13.0,4.9411764705882355
L Monanthane,37,34,0.0,6.529411764705882
L Mophakedi,26,23,0.0,6.782608695652174
L Ngidi,839,574,38.0,8.770034843205575
L Nou,39,42,2.0,5.571428571428571
L Nyarko,19,36,3.0,3.166666666666667
L Ostergaard,93,132,10.0,4.2272727272727275
L Paul,272,290,17.0,5.627586206896551
L Phiri,133,139,10.0,5.741007194244604
L Piety,101,126,13.0,4.80952380952381
L Qiao,114,180,11.0,3.8
L Ramjit,45,61,3.0,4.426229508196721
L Samani,7,8,0.0,5.25
L Sanogo,90,80,3.0,6.75
L Shafeeg,277,213,12.0,7.80281690140845
L Shetty,65,55,2.0,7.090909090909092
L Siaka,58,49,5.0,7.1020408163265305
L Sipamla,263,154,6.0,10.246753246753247
L Sormus,150,170,6.0,5.294117647058823
L Tastuki,38,51,2.0,4.470588235294118
L Taylor,159,182,8.0,5.241758241758242
L Thobela,7,11,0.0,3.8181818181818183
L Tshuma,387,413,20.0,5.622276029055691
L Udeh,200,308,22.0,3.896103896103896
L Visser,49,33,2.0,8.90909090909091
L Vuadreu,25,30,4.0,5.0
L Wahmowe,44,57,6.0,4.631578947368421
L Ward,4,6,1.0,4.0
L Wood,203,160,12.0,7.612500000000001
LA Burns,397,445,36.0,5.352808988764045
LA Dawson,241,178,9.0,8.123595505617978
LA Marsh,352,374,15.0,5.647058823529411
LA McBride,138,98,3.0,8.448979591836736
LA Musiani,38,27,1.0,8.444444444444445
LA Simango,144,126,7.0,6.857142857142857
LAR Bommareddy,103,89,1.0,6.943820224719101
LB Williams,325,185,14.0,10.54054054054054
LC Le Tissier,86,98,9.0,5.26530612244898
LC Sthalekar,71,73,5.0,5.835616438356165
LCN Smith,358,313,12.0,6.862619808306709
LD Chukkapalli-Llinares,27,32,0.0,5.0625
LE Kaushalya,114,112,5.0,6.107142857142857
LE Plunkett,321,236,16.0,8.161016949152541
LF Muller,43,31,3.0,8.322580645161292
LG Moras,54,51,0.0,6.352941176470589
LH Ferguson,448,357,29.0,7.529411764705882
LH Rodrigues,231,229,12.0,6.052401746724891
LI Haoye,81,127,10.0,3.826771653543307
LI Salomone,128,104,5.0,7.384615384615385
LJ Leokaoke,45,48,2.0,5.625
LJ Myott,304,280,20.0,6.514285714285714
LJ Payas,9,14,1.0,3.8571428571428577
LJ Woodcock,30,24,1.0,7.5
LJ Wright,285,203,12.0,8.423645320197044
LK Bell,492,417,26.0,7.079136690647482
LK Bennett,98,118,7.0,4.983050847457627
LK O'Reilly,428,417,23.0,6.158273381294965
LK Sharma,29,18,1.0,9.666666666666668
LKW Ezechiel,101,52,1.0,11.653846153846153
LL Dimba,187,244,11.0,4.5983606557377055
LL Htun,228,317,15.0,4.315457413249211
LL Tsotsobe,179,192,11.0,5.59375
LM Gabriel,78,67,1.0,6.985074626865671
LM Jongwe,522,379,27.0,8.263852242744065
LM Kasperek,603,540,41.0,6.7
LM Sims,7,15,3.0,2.8
LMM Tahuhu,854,759,39.0,6.75098814229249
LMP Simmons,71,43,6.0,9.906976744186046
LN McCarthy,176,186,8.0,5.67741935483871
LN Oluoch,835,734,45.0,6.8256130790190745
LN Onyango,71,30,2.0,14.2
LN Rajbanshi,490,438,20.0,6.712328767123289
LO Telea,9,24,4.0,2.25
LP Kasturiarachchige,19,12,0.0,9.5
LPC Silva,4,6,1.0,4.0
LR Doolan,71,76,5.0,5.605263157894737
LS Baker,58,50,2.0,6.959999999999999
LS Barkania,174,180,15.0,5.8
LS Livingstone,595,438,27.0,8.150684931506849
LS Mulivai,14,20,0.0,4.199999999999999
LS Simelane,226,172,7.0,7.883720930232558
LT Bichard,381,406,27.0,5.630541871921182
LV Boas,156,179,6.0,5.229050279329609
LV Mandhate,23,22,1.0,6.2727272727272725
LV van Beek,478,379,28.0,7.567282321899736
LY Loch Srey,90,101,4.0,5.346534653465347
Laiba Nasrullah,119,81,1.0,8.814814814814815
Lakshit Gupta,111,68,3.0,9.794117647058822
Lata Mondal,113,98,3.0,6.918367346938776
Latsha Haleemath,156,93,2.0,10.064516129032258
Lee Kangmin,41,25,0.0,9.84
Lemar Momand,31,27,1.0,6.888888888888889
Lihara Ayeysekara,96,64,2.0,9.0
Likitha Yadav,41,48,1.0,5.125
Lily Lamb,25,23,2.0,6.521739130434782
Lopamudra,123,127,3.0,5.8110236220472435
Lovedeep Singh,45,47,4.0,5.74468085106383
Luca Petre,69,54,3.0,7.666666666666666
Lucas Rossi,142,181,14.0,4.707182320441989
Lucky Ali,133,153,8.0,5.215686274509804
Luis Hermida,136,144,10.0,5.666666666666666
Luka Woods,65,73,3.0,5.342465753424658
Luo Shilin,146,117,2.0,7.487179487179487
Luqman Butt,448,364,12.0,7.384615384615385
Ly Saomakara,54,53,2.0,6.113207547169811
M Abdulla,27,19,0.0,8.526315789473685
M Aboagye,154,133,5.0,6.947368421052632
M Ahono,13,11,1.0,7.090909090909092
M Akayezu,1044,865,59.0,7.241618497109827
M Altankhuyag,55,17,1.0,19.411764705882355
M Ansari,153,102,4.0,9.0
M Ariokot,83,96,6.0,5.1875
M Artur,38,61,7.0,3.737704918032787
M Badenhorst,104,71,5.0,8.788732394366198
M Batnasan,42,32,3.0,7.875
M Bibi,465,453,30.0,6.158940397350992
M Biu,163,157,3.0,6.229299363057325
M Brasier,22,14,0.0,9.428571428571429
M Breban,24,25,3.0,5.76
M Chadha,85,61,4.0,8.360655737704917
M Charlie,28,31,3.0,5.419354838709677
M Chaudhary,37,51,4.0,4.352941176470588
M Chereches,32,31,1.0,6.193548387096774
M Choamba,119,117,7.0,6.102564102564102
M Cope,139,91,6.0,9.164835164835164
M Corazon,7,18,1.0,2.3333333333333335
M Dale-Bradley,251,258,20.0,5.837209302325581
M Daniels,282,288,12.0,5.875
M Desmond,129,168,10.0,4.607142857142858
M Dixit,265,198,8.0,8.030303030303031
M Dlamini,385,408,15.0,5.661764705882353
M Enkhzul,154,142,8.0,6.507042253521128
M Faheem,54,39,4.0,8.307692307692307
M Faraz Akram,117,73,2.0,9.616438356164384
M Fontaine,30,24,0.0,7.5
M Fru,90,52,3.0,10.384615384615385
M Gaur,187,195,6.0,5.753846153846154
M Gherasim,9,8,0.0,6.75
M Gogev,266,159,12.0,10.037735849056604
M Gorases,32,19,1.0,10.105263157894736
M Gouws,125,91,5.0,8.241758241758241
M Heingo,32,19,2.0,10.105263157894736
M Hill,445,525,28.0,5.085714285714285
M Holmes,38,44,1.0,5.181818181818182
M Hundal,118,113,9.0,6.265486725663717
M Imimole,54,78,0.0,4.153846153846153
M Jansen,537,364,16.0,8.851648351648352
M Jayphert,16,13,0.0,7.384615384615385
M Jele,110,103,9.0,6.407766990291262
M Jevdjenovic,89,101,4.0,5.287128712871287
M Jobarteh,141,78,3.0,10.846153846153847
M Joshi,76,48,1.0,9.5
M Kadyan,141,119,7.0,7.109243697478991
M Kanno,14,27,2.0,3.1111111111111107
M Kapp,833,899,50.0,5.559510567296996
M Kartik,29,24,0.0,7.25
M Kasselman,11,6,0.0,11.0
M Kaukura,103,103,6.0,6.0
M Kearvell,26,28,2.0,5.571428571428571
M Khojbariya,47,48,2.0,5.875
M Klaas,598,472,24.0,7.601694915254237
M Kojo,16,18,0.0,5.333333333333333
M Koli,463,416,27.0,6.677884615384615
M Kpaka,138,124,8.0,6.677419354838709
M Kristensen,12,12,0.0,6.0
M Levitt,95,57,2.0,10.0
M Mabvuka,21,17,1.0,7.411764705882353
M Madara,64,67,3.0,5.731343283582089
M Magagula,187,132,12.0,8.5
M Malle,22,14,0.0,9.428571428571429
M Mani,22,20,1.0,6.6000000000000005
M Manivannan,32,19,0.0,10.105263157894736
M Martinez,177,180,4.0,5.8999999999999995
M Matobole,21,17,1.0,7.411764705882353
M Mavunga,52,39,1.0,8.0
M McColl,75,92,8.0,4.891304347826087
M Mete,11,20,1.0,3.3000000000000003
M Methtananda,23,12,0.0,11.5
M Mooketsi,538,489,30.0,6.60122699386503
M Morkel,640,535,28.0,7.177570093457943
M Muralitharan,122,100,2.0,7.32
M Musinguzi,11,13,0.0,5.076923076923077
M Mwamadi,4,9,1.0,2.6666666666666665
M Mwangi,87,96,6.0,5.4375
M Mwatile,285,330,25.0,5.181818181818182
M Ndhambi,33,33,1.0,6.0
M Ngoche,21,18,0.0,7.0
M Ntini,191,124,7.0,9.241935483870968
M Ochieng,87,126,6.0,4.142857142857142
M Ogawa,39,41,2.0,5.7073170731707314
M Ortiz,53,73,4.0,4.356164383561644
M Ozturk,263,204,13.0,7.73529411764706
M Parinitha,71,119,10.0,3.579831932773109
M Pascal,20,13,2.0,9.230769230769232
M Pathirana,281,195,14.0,8.646153846153846
M Phiase,20,35,3.0,3.4285714285714284
M Podosky,114,95,4.0,7.199999999999999
M Polimeri,8,6,0.0,8.0
M Prasanna,22,12,1.0,11.0
M Prasidh Krishna,82,49,3.0,10.040816326530614
M Raikes,106,51,3.0,12.47058823529412
M Ramafifi,48,74,3.0,3.891891891891892
M Ribeiro,209,284,21.0,4.415492957746479
M Robinson,56,68,6.0,4.9411764705882355
M Saastamoinen,31,36,3.0,5.166666666666667
M Sarenac,289,237,16.0,7.3164556962025316
M Sedgwick,22,6,0.0,22.0
M Shahbaz Butt,82,98,8.0,5.020408163265307
M Shehani,67,48,1.0,8.375
M Sheriff,28,39,1.0,4.3076923076923075
M Short,51,95,8.0,3.2210526315789476
M Smith,29,18,2.0,9.666666666666668
M Spoors,5,12,2.0,2.5
M Stanikzai,116,78,1.0,8.923076923076923
M Strano,109,108,9.0,6.055555555555555
M Syahadat Ramli,29,55,8.0,3.163636363636363
M Syrioti,238,260,14.0,5.492307692307692
M Taniyama,69,61,4.0,6.786885245901638
M Taylor,348,260,11.0,8.03076923076923
M Theekshana,890,753,42.0,7.091633466135459
M Tilau,25,25,3.0,6.0
M Tom,244,328,18.0,4.463414634146341
M Trajkovi,94,142,6.0,3.971830985915493
M Turay,27,39,2.0,4.153846153846153
M Turner,8,24,1.0,2.0
M Ulmanova,39,45,2.0,5.2
M Upadhayay,93,90,11.0,6.200000000000001
M Uwase,11,6,0.0,11.0
M Valner,182,302,16.0,3.615894039735099
M Vandrasi,104,86,5.0,7.255813953488372
M Vervitsioti,220,183,9.0,7.213114754098361
M Vijay,10,12,0.0,5.0
M Vivekanandan,343,218,9.0,9.440366972477065
M Vua,18,26,2.0,4.153846153846153
M Vumiliya,179,255,13.0,4.211764705882352
M Wai Siu,450,542,29.0,4.981549815498155
M Walker,23,21,1.0,6.571428571428572
M Whelan,68,45,2.0,9.066666666666666
M Yanagida,143,179,9.0,4.793296089385475
M Yousaf,23,45,3.0,3.0666666666666664
M Yunusu Issa,287,237,15.0,7.265822784810127
M Zdravkova,27,39,1.0,4.153846153846153
M Zhu,44,56,3.0,4.714285714285714
M Zondeki,42,21,1.0,12.0
M Zwilling,22,28,4.0,4.714285714285714
M de Lange,92,55,2.0,10.036363636363635
M du Preez,8,6,0.0,8.0
M van Lingen,14,6,0.0,14.0
MA Algi,132,91,6.0,8.703296703296703
MA Aponso,29,18,2.0,9.666666666666668
MA Baig,126,146,15.0,5.178082191780822
MA Leask,459,363,20.0,7.586776859504132
MA Nyabela,254,248,11.0,6.14516129032258
MA Parker,61,52,3.0,7.038461538461538
MA Starc,1409,1115,54.0,7.582062780269059
MA Tsemane,181,166,3.0,6.542168674698795
MA Wood,707,509,37.0,8.333988212180746
MADI Hemantha,66,50,4.0,7.92
MB Tambe,324,256,17.0,7.59375
MBA Lamplough,58,78,1.0,4.461538461538462
MBS Jonkman,21,19,2.0,6.631578947368421
MC Alex,75,55,0.0,8.181818181818182
MC Henriques,66,68,4.0,5.823529411764706
MC Sorensen,233,201,13.0,6.955223880597014
MD Bates,108,67,4.0,9.671641791044776
MD Bimenyimana,433,635,56.0,4.0913385826771655
MD Botha,99,179,15.0,3.3184357541899443
MD Dai,58,66,2.0,5.2727272727272725
MD Garratt,51,31,1.0,9.870967741935484
MD Gunathilaka,50,44,2.0,6.818181818181818
MD Shanaka,436,329,17.0,7.951367781155016
ME Bessala,80,63,1.0,7.619047619047619
ME Leoela,20,18,1.0,6.666666666666667
ME Violleau,77,62,1.0,7.451612903225806
MEC de Fouw,18,19,0.0,5.684210526315789
MEK Hussey,6,6,0.0,6.0
MEMO Scott-Hayward,48,41,1.0,7.024390243902438
MF Maharoof,52,45,2.0,6.933333333333333
MF Manjate,11,6,0.0,11.0
MFD Douma,96,122,7.0,4.721311475409836
MFI Assuncao,52,18,0.0,17.333333333333332
MG Bracewell,281,235,12.0,7.174468085106383
MG Erasmus,488,483,29.0,6.062111801242236
MG Johnson,399,325,19.0,7.366153846153846
MGMCP Gunawardene,50,49,3.0,6.122448979591837
MGSM Fernando,48,49,2.0,5.877551020408163
MH Ushanga,201,261,15.0,4.620689655172414
MH Yardy,243,231,9.0,6.311688311688312
MI Khagoitsa,221,345,23.0,3.8434782608695652
MI Tato,8,26,3.0,1.8461538461538463
MIW van den Raad,20,15,0.0,8.0
MJ Ansell,187,205,14.0,5.4731707317073175
MJ Clarke,106,74,3.0,8.594594594594595
MJ Henry,440,329,20.0,8.024316109422493
MJ Humphreys,55,63,5.0,5.238095238095238
MJ Mason,20,21,1.0,5.7142857142857135
MJ McClenaghan,344,295,14.0,6.996610169491525
MJ Owen,62,33,2.0,11.272727272727273
MJ Ross,53,42,2.0,7.571428571428571
MJ Santner,1270,1094,50.0,6.96526508226691
MJ Swepson,157,106,7.0,8.88679245283019
MJ Tugaga,26,26,1.0,6.0
MJ Tumukunde,53,68,1.0,4.676470588235294
MJG Nielsen,101,152,8.0,3.986842105263158
MJG Rippon,114,108,8.0,6.333333333333334
MJM Kavana,87,78,7.0,6.6923076923076925
MK Amusa,55,75,4.0,4.3999999999999995
MK Anafie,65,69,4.0,5.6521739130434785
MK Thakur,247,249,16.0,5.951807228915663
MK Villiers,60,48,2.0,7.5
ML Bojang,49,45,1.0,6.533333333333333
ML Castillo,155,147,12.0,6.326530612244898
ML Green,6,12,1.0,3.0
ML Kostic,23,12,1.0,11.5
ML Lewis,32,24,2.0,8.0
ML Schutt,1290,1226,79.0,6.313213703099511
MLN Sissako,94,74,3.0,7.621621621621621
MM Ali,590,474,25.0,7.468354430379746
MM Baig,242,211,21.0,6.881516587677726
MM Dekeling,58,54,2.0,6.444444444444445
MM Iqbal,17,24,2.0,4.25
MM Letsoalo,169,178,8.0,5.6966292134831455
MM Mabathoana,120,84,2.0,8.571428571428571
MM Penfold,119,100,5.0,7.14
MM Sarwar,15,12,1.0,7.5
MM Sharma,102,66,3.0,9.272727272727273
MMR Obili,85,67,3.0,7.611940298507463
MN Samuels,139,112,5.0,7.446428571428571
MN Waller,4,6,0.0,4.0
MNM Aslam,921,886,50.0,6.237020316027088
MNR Cooray,52,49,1.0,6.36734693877551
MO Jones,107,117,7.0,5.487179487179487
MO Kain,17,10,0.0,10.2
MP Ainsworth,50,45,3.0,6.666666666666667
MP Enright,18,12,0.0,9.0
MP Kuhnemann,69,50,0.0,8.28
MP O'Dowd,69,41,1.0,10.097560975609756
MP Stoinis,773,540,24.0,8.588888888888889
MP Yadav,21,24,1.0,5.25
MPGT Ketiyage,211,172,10.0,7.3604651162790695
MPM Pathirannehelage,35,59,4.0,3.559322033898305
MPP San,207,265,15.0,4.686792452830189
MR Adair,1529,1144,75.0,8.019230769230768
MR Gillespie,59,64,8.0,5.53125
MR Marsh,273,205,11.0,7.990243902439024
MR Meshram,14,24,0.0,3.5
MR Swart,152,123,6.0,7.414634146341464
MRJ Watt,848,667,31.0,7.628185907046476
MS Aulakh,54,43,2.0,7.534883720930233
MS Beresford,214,209,9.0,6.14354066985646
MS Chapman,19,18,2.0,6.333333333333334
MS Crane,24,24,0.0,6.0
MS Diawara,69,55,3.0,7.527272727272727
MS Graham,61,48,1.0,7.625
MS Kasprowicz,28,18,1.0,9.333333333333334
MS Panesar,40,24,2.0,10.0
MSN Ekani,141,131,4.0,6.458015267175572
MT Jacob,123,140,9.0,5.271428571428571
MT Waqanisau,145,188,10.0,4.627659574468085
MTMMJ Ave,139,119,6.0,7.008403361344538
MV Lehmann,3,6,0.0,3.0
MV Matsau,96,64,6.0,9.0
MV Pavlovic,393,335,24.0,7.038805970149253
MVT Fernando,16,12,0.0,8.0
MW Forde,149,111,7.0,8.054054054054054
MW Jones,25,14,1.0,10.714285714285715
MW Machan,26,24,2.0,6.5
MW Parkinson,127,77,2.0,9.896103896103895
MW Short,55,32,1.0,10.3125
MWR Stokes,337,284,12.0,7.119718309859156
Ma Luz Barcelona,10,11,0.0,5.454545454545454
Ma Qiancheng,154,144,7.0,6.416666666666666
Ma Ruike,167,237,11.0,4.227848101265823
Maaha Naseer,30,18,0.0,10.0
Maahi Madhavan,48,43,1.0,6.697674418604651
Maaz Khan,51,25,0.0,12.24
Madeeha Zuberi,37,54,2.0,4.111111111111112
Madhawa Basnayaka,65,46,2.0,8.478260869565219
Mah Noor,107,62,0.0,10.35483870967742
Mah Noor Amir,274,162,2.0,10.148148148148149
Maham Tariq,65,38,0.0,10.263157894736842
Mahedi Hasan,906,768,41.0,7.078125
Mahewish Khan,31,43,4.0,4.325581395348837
Mahirah Izzati Ismail,389,521,31.0,4.479846449136276
Mahmud Jasat,14,8,0.0,10.5
Mahmudullah,630,499,20.0,7.5751503006012015
Maira Khan,159,100,2.0,9.540000000000001
Maira Saleem,19,26,0.0,4.384615384615384
Malyun Hassan,6,6,0.0,6.0
Malyun Yusuf,10,11,1.0,5.454545454545454
Manal Malik,7,6,0.0,7.0
Manan Ali,33,19,0.0,10.421052631578949
Manish Sharma,24,18,1.0,8.0
Manpreet Singh,180,120,1.0,9.0
Mansi Parmar,27,29,1.0,5.586206896551724
Mansoor Shah,45,33,5.0,8.181818181818182
Marcelle Hanekom,81,65,3.0,7.476923076923077
Maria Ahsan,29,44,3.0,3.954545454545454
Maria Jasvi,494,524,29.0,5.65648854961832
Mariam Hasan,8,18,2.0,2.6666666666666665
Mariamma Hyder,459,581,30.0,4.740103270223752
Marica Taira,7,8,0.0,5.25
Marina Iqbal,27,25,1.0,6.48
Mariska Kornet,32,26,1.0,7.384615384615385
Marsya Qistina Binti,8,7,0.0,6.857142857142857
Marufa Akter,276,248,10.0,6.677419354838709
Maryam Omar,338,444,23.0,4.5675675675675675
Maryyam Ashraf,19,25,1.0,4.5600000000000005
Mas Elysa,290,293,12.0,5.938566552901023
Mashrafe Mortaza,972,672,21.0,8.678571428571429
Matiullah Khan,147,92,4.0,9.58695652173913
Mayank Nagayach,192,153,2.0,7.529411764705882
Mazharul Islam,29,12,1.0,14.5
Md Shuayeb,18,13,1.0,8.307692307692307
Meet Bhavsar,206,200,12.0,6.18
Meghna Rajan,69,167,9.0,2.4790419161676644
Meghna Singh,52,44,2.0,7.090909090909092
Mehboob Ali,75,64,4.0,7.03125
Mehedi Hasan Miraz,336,231,8.0,8.727272727272727
Mehran Khan,322,250,10.0,7.728
Memoona Riaz,22,36,2.0,3.666666666666667
Mengting Liu,225,353,32.0,3.824362606232295
Merwais Shinwari,17,19,3.0,5.368421052631579
Metty Fernandes,36,66,2.0,3.2727272727272725
Milad Momend,343,268,24.0,7.679104477611941
Milind Kumar,127,130,11.0,5.861538461538461
Mina Baek,45,51,3.0,5.294117647058823
Mirab Razwan,181,193,12.0,5.626943005181348
Mirza Ahmed,101,85,6.0,7.129411764705882
Mobashar Ashraf,8,12,0.0,4.0
Moe Ei Phyu,12,8,0.0,9.0
Mohamed Arief,13,6,0.0,13.0
Mohamed Coulibaly,42,34,1.0,7.411764705882353
Mohamed Ishmath,113,99,5.0,6.848484848484849
Mohamed Khan,29,24,1.0,7.25
Mohamed Mahfooz,110,109,7.0,6.055045871559633
Mohamed Shafeeq,704,621,33.0,6.8019323671497585
Mohamed Shiyam,41,19,0.0,12.947368421052632
Mohamed Turay,134,110,7.0,7.3090909090909095
Mohameed Taiwo,415,374,15.0,6.657754010695188
Mohammad Aadil Alam,39,36,4.0,6.5
Mohammad Ahsan,31,18,4.0,10.333333333333334
Mohammad Amin,6,6,0.0,6.0
Mohammad Amir,746,631,29.0,7.09350237717908
Mohammad Asaduzzaman,99,87,4.0,6.827586206896552
Mohammad Ashraful,176,118,6.0,8.949152542372882
Mohammad Asif,194,168,12.0,6.928571428571428
Mohammad Atif,112,165,12.0,4.072727272727273
Mohammad Boota,13,6,1.0,13.0
Mohammad Ghazanfar,392,332,18.0,7.0843373493975905
Mohammad Hafeez,705,596,25.0,7.097315436241612
Mohammad Hasnain,611,427,18.0,8.585480093676814
Mohammad Irfan,290,227,12.0,7.665198237885463
Mohammad Kamran,244,308,22.0,4.753246753246754
Mohammad Kashif,19,12,1.0,9.5
Mohammad Nadeem,541,462,23.0,7.025974025974026
Mohammad Naveed,256,253,20.0,6.071146245059288
Mohammad Nawaz,617,470,23.0,7.87659574468085
Mohammad Nawaz (3),259,206,11.0,7.54368932038835
Mohammad Saifuddin,719,508,26.0,8.492125984251969
Mohammad Sami,286,185,11.0,9.275675675675675
Mohammad Shahid,32,18,1.0,10.666666666666666
Mohammad Shahzad,144,105,5.0,8.228571428571428
Mohammad Waheed,29,20,0.0,8.7
Mohammad Wasim,484,375,24.0,7.744
Mohammed Alamgir,15,12,1.0,7.5
Mohammed Awais,110,74,1.0,8.91891891891892
Mohammed Faraazuddin,126,84,2.0,9.0
Mohammed Irshad,158,131,11.0,7.236641221374046
Mohammed Nadeem,435,424,21.0,6.15566037735849
Mohammed Qasim,48,51,4.0,5.647058823529411
Mohammed Shami,389,272,15.0,8.580882352941178
Mohammed Siraj,288,212,10.0,8.150943396226415
Mohsin Khan,49,37,4.0,7.945945945945946
Mohsin Zaki,40,36,2.0,6.666666666666667
Mokbul Ahammed,10,12,0.0,5.0
Mosaddek Hossain,205,181,11.0,6.795580110497238
Mounica Chowdary,27,25,0.0,6.48
Mubeen Tariq,32,14,0.0,13.714285714285714
Mudassar Bukhari,326,259,17.0,7.552123552123552
Mudassir Iqbal,100,66,1.0,9.09090909090909
Muhammad Afis,18,6,0.0,18.0
Muhammad Ajmal,8,8,0.0,6.0
Muhammad Amir,253,231,14.0,6.571428571428572
Muhammad Ansar,29,18,0.0,9.666666666666668
Muhammad Arfan,38,36,4.0,6.333333333333334
Muhammad Asim,276,244,16.0,6.786885245901638
Muhammad Burhan,85,77,7.0,6.623376623376624
