bowler,runs_conceded,balls_bowled,wickets_taken,economy
Amir Butt,11,14,2.0,4.714285714285714
Amir Farooq,369,271,14.0,8.169741697416974
Amir Hamza,17,14,1.0,7.285714285714285
Amir Hayat,16,12,3.0,8.0
Amir Zaib,30,12,1.0,15.0
Amjad Javed,180,173,15.0,6.242774566473988
Amjad Mahboob,354,242,17.0,8.776859504132231
Amjad Sher,371,336,20.0,6.625
Amma Kashif,34,37,0.0,5.513513513513514
Ammar Khalid,72,74,6.0,5.837837837837839
Amna Khan,122,76,1.0,9.631578947368421
Amna Tariq,538,613,31.0,5.265905383360522
Amoluk Singh,104,88,5.0,7.090909090909092
Anam Amin,671,636,30.0,6.330188679245284
Anas Khan,159,194,17.0,4.917525773195877
Anasim Khan,95,73,3.0,7.808219178082192
Andre Jarju,134,77,5.0,10.441558441558442
Angela Busa,79,60,2.0,7.9
Anique Uddin,53,39,3.0,8.153846153846153
Anjali Chand,1,38,10.0,0.15789473684210525
Anjar Tadarus,243,214,14.0,6.813084112149533
Anjuli Ghalley,42,42,0.0,6.0
Ankit Dubey,13,12,0.0,6.5
Anoop Orsu,26,20,1.0,7.800000000000001
Ansar Iqbal,17,13,0.0,7.846153846153847
Ansh Patel,10,37,5.0,1.6216216216216217
Anshuman Rath,165,118,2.0,8.389830508474576
Anskumar Ahir,27,20,0.0,8.100000000000001
Anwar Ali,254,192,7.0,7.9375
Anwar Rahman,196,164,12.0,7.170731707317072
Aphsal Ashraf,35,24,2.0,8.75
Aqib Ilyas,397,404,26.0,5.896039603960396
Aqib Iqbal,832,690,38.0,7.234782608695653
Aqif Farooq,17,18,1.0,5.666666666666666
Arafat Sunny,187,141,10.0,7.957446808510639
Archara Supriya,24,27,1.0,5.333333333333333
Arif Nasir Uddin,19,14,0.0,8.142857142857142
Arif Ullah,105,94,9.0,6.702127659574467
Arjun Vinod,200,145,3.0,8.275862068965518
Arsalan Ahmed,38,30,2.0,7.6
Arshad Iqbal,16,24,1.0,4.0
Arshdeep Singh,707,557,46.0,7.615798922800719
Arslan Amjad,197,114,8.0,10.368421052631579
Arun Yadav,62,36,1.0,10.333333333333334
Aryan Lakra,46,42,2.0,6.571428571428572
