batter,total_runs,balls_faced,times_out,strike_rate,average,team
A Busing-Volschenk,22,14,2.0,157.14285714285714,11.0,Namibia
A Canning,28,41,6.0,68.29268292682927,4.666666666666667,Ireland
A Capsey,320,329,21.0,97.2644376899696,15.238095238095235,England
A Cespedes,1,16,2.0,6.25,0.5,Costa Rica
A Chandel,200,332,13.0,60.24096385542169,15.384615384615383,Japan
A Charles,1,5,1.0,20.0,1.0,Croatia
A Chaubey,1,12,2.0,8.333333333333332,0.5,Croatia
A Chaudhary,37,27,1.0,137.03703703703704,37.0,Singapore
A Chilia,74,128,8.0,57.8125,9.25,Vanuatu
A Conteh,20,41,4.0,48.78048780487805,5.0,Gambia
A Cossa,24,40,3.0,60.0,8.0,Mozambique
A Curavic,5,20,3.0,25.0,1.6666666666666667,Croatia
A Dananjaya,36,42,3.0,85.71428571428571,12.0,Sri Lanka
A Das,6,7,2.0,85.71428571428571,3.0,India
A Dastgir,0,2,1.0,0.0,0.0,Norway
A Davidson Soler,91,83,3.0,109.63855421686748,30.33333333333333,Spain
A Davidson-Soler,21,24,2.0,87.5,10.5,Spain
A Daxini,11,24,3.0,45.83333333333333,3.6666666666666665,Croatia
A Dcosta,32,50,6.0,64.0,5.333333333333333,Oman
A Dercksen,123,106,6.0,116.03773584905662,20.5,South Africa
A Dhabe,30,35,2.0,85.71428571428571,15.0,Sweden
A Dhingra,3,4,1.0,75.0,3.0,Luxembourg
A Dineshi,0,12,2.0,0.0,0.0,Romania
A Dirannehelage,150,248,2.0,60.483870967741936,75.0,Cyprus
A Dizija,303,244,11.0,124.18032786885249,27.545454545454547,Serbia
A Djorovic,7,14,1.0,50.0,7.0,Serbia
A Doddaballapur,190,257,10.0,73.92996108949417,19.0,Germany
A Donovan,253,144,3.0,175.69444444444443,84.33333333333333,Philippines
A Dutt,65,63,3.0,103.1746031746032,21.666666666666668,Netherlands
A Faletar,0,2,1.0,0.0,0.0,Croatia
A Ferguson,220,219,5.0,100.4566210045662,44.0,Argentina
A Flintoff,50,39,3.0,128.2051282051282,16.666666666666668,England
A Fujikawa,36,47,1.0,76.59574468085107,36.0,Japan
A Galan,39,64,6.0,60.9375,6.5,Argentina
A Gardner,826,601,35.0,137.43760399334442,23.6,Australia
A Gasteratos,4,16,2.0,25.0,2.0,Greece
A Gavde,1,6,1.0,16.666666666666664,1.0,Cayman Islands
A Gbla,78,106,13.0,73.58490566037736,6.0,Sierra Leone
A Gisdaki,15,65,2.0,23.07692307692308,7.5,Greece
A Gorawara,28,26,2.0,107.6923076923077,14.0,Hong Kong
A Govorko,1,1,0.0,100.0,1.0,Croatia
A Griffin,1,8,0.0,12.5,1.0,Vanuatu
A Gulati,2,3,1.0,66.66666666666666,2.0,Bahamas
A Gunasekar,5,22,1.0,22.727272727272727,5.0,Oman
A Gupta,3,3,0.0,100.0,3.0,Norway
A Gurung,23,54,6.0,42.5925925925926,3.8333333333333335,Bhutan
A Halbhavi,56,71,6.0,78.87323943661971,9.333333333333334,Luxembourg
A Harris,16,26,4.0,61.53846153846154,4.0,Bahamas
A Hartley,72,72,2.0,100.0,36.0,Spain
