venue,avg_score,nature
"Ruaraka Sports Club Ground, Nairobi",195.0,Sporting (Batting Friendly)
"Sabina Park, Kingston",134.0,Balanced
"Sabina Park, Kingston, Jamaica",181.375,Sporting (Batting Friendly)
San Albano,316.5,Sporting (Batting Friendly)
Sano International Cricket Ground,121.17142857142858,Balanced
Sano International Cricket Ground 2,90.0,Rough (Bowler Friendly)
Santarem Cricket Ground,150.11111111111111,Sporting (Batting Friendly)
Sao Fernando Polo and Cricket Club,116.5,Rough (Bowler Friendly)
"Sao Fernando Polo and Cricket Club, Campo Sede",40.0,Rough (Bowler Friendly)
"Sardar Patel Stadium, Motera",192.0,Sporting (Batting Friendly)
Saurashtra Cricket Association Stadium,183.33333333333334,Sporting (Batting Friendly)
"Saurashtra Cricket Association Stadium, Rajkot",189.33333333333334,Sporting (Batting Friendly)
"Sawai Mansingh Stadium, Jaipur",164.0,Sporting (Batting Friendly)
Saxton Oval,151.75,Sporting (Batting Friendly)
"Saxton Oval, Nelson",147.4,Balanced
"Scott Page Field, Vinor",140.93939393939394,Balanced
Seddon Park,168.23529411764707,Sporting (Batting Friendly)
"Seddon Park, Hamilton",194.0,Sporting (Batting Friendly)
Seebarn Cricket Centre,143.0,Balanced
"Seebarn Cricket Centre, Lower Austria",165.0,Sporting (Batting Friendly)
"Selangor Turf Club, Kuala Lumpur",95.19047619047619,Rough (Bowler Friendly)
Senwes Park,132.11111111111111,Balanced
"Senwes Park, Potchefstroom",137.0,Balanced
"Shaheed Veer Narayan Singh International Stadium, Raipur",174.0,Sporting (Batting Friendly)
Sharjah Cricket Stadium,138.675,Balanced
Sheikh Abu Naser Stadium,174.25,Sporting (Batting Friendly)
Sheikh Zayed Stadium,134.43243243243242,Balanced
"Sheikh Zayed Stadium, Abu Dhabi",116.0,Rough (Bowler Friendly)
Shere Bangla National Stadium,145.45945945945945,Balanced
"Shere Bangla National Stadium, Mirpur",136.03125,Balanced
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",127.0,Balanced
"Sikh Union Club Ground, Nairobi",140.125,Balanced
"Simar Cricket Ground, Rome",138.52631578947367,Balanced
"Simonds Stadium, South Geelong",137.0,Balanced
Singapore National Cricket Ground,123.25641025641026,Balanced
Sinhalese Sports Club Ground,91.5,Rough (Bowler Friendly)
"Sinhalese Sports Club Ground, Colombo",134.33333333333334,Balanced
"Sir Vivian Richards Stadium, North Sound",129.0,Balanced
"Sir Vivian Richards Stadium, North Sound, Antigua",122.16,Balanced
Sky Stadium,135.0,Balanced
"Sky Stadium, Wellington",174.33333333333334,Sporting (Batting Friendly)
"Solvangs Park, Glostrup",99.0,Rough (Bowler Friendly)
Sophia Gardens,144.28571428571428,Balanced
"Sophia Gardens, Cardiff",147.4,Balanced
Southend Club Cricket Stadium,136.0,Balanced
"Southend Club Cricket Stadium, Karachi",105.0,Rough (Bowler Friendly)
"Sportpark Harga, Schiedam",116.33333333333333,Rough (Bowler Friendly)
Sportpark Het Schootsveld,136.16666666666666,Balanced
"Sportpark Het Schootsveld, Deventer",133.8,Balanced
Sportpark Maarschalkerweerd,92.8,Rough (Bowler Friendly)
"Sportpark Maarschalkerweerd, Utrecht",130.14285714285714,Balanced
Sportpark Westvliet,140.66666666666666,Balanced
"Sportpark Westvliet, The Hague",154.22222222222223,Sporting (Batting Friendly)
"Sportpark Westvliet, Voorburg",136.9090909090909,Balanced
"St Albans Club, Buenos Aires",108.14285714285714,Rough (Bowler Friendly)
"St George's College Ground, Buenos Aires",102.33333333333333,Rough (Bowler Friendly)
St George's Park,131.66666666666666,Balanced
"St George's Park, Gqeberha",136.14285714285714,Balanced
St Georges Quilmes,82.66666666666667,Rough (Bowler Friendly)
St Lawrence Ground,137.0,Balanced
"St Lawrence Ground, Canterbury",143.5,Balanced
Stadium Australia,149.8,Balanced
"Stars Arena Hofstade, Zemst",130.0909090909091,Balanced
"Stubberudmyra Cricket Ground, Oslo",170.66666666666666,Sporting (Batting Friendly)
Subrata Roy Sahara Stadium,157.0,Sporting (Batting Friendly)
SuperSport Park,172.83333333333334,Sporting (Batting Friendly)
"SuperSport Park, Centurion",183.57142857142858,Sporting (Batting Friendly)
