batter,total_runs,balls_faced,times_out,strike_rate,average
BKG Mendis,1194,937,44.0,127.42796157950906,27.136363636363637
BL Mooney,1963,1530,45.0,128.30065359477126,43.62222222222222
BLCS Kumara,3,5,1.0,60.0,3.0
BM Duckett,348,231,10.0,150.64935064935065,34.8
BM Halliday,258,276,16.0,93.47826086956522,16.125
BM Pecic,44,61,2.0,72.1311475409836,22.0
BM Scholtz,38,40,3.0,95.0,12.666666666666666
BM Tickner,5,12,1.0,41.66666666666667,5.0
BM Wheeler,1,2,0.0,50.0,1.0
BMA Mbida,136,211,15.0,64.45497630331754,9.066666666666666
BMAJ Mendis,178,151,7.0,117.88079470198676,25.428571428571427
BMSM Kumari,47,88,9.0,53.40909090909091,5.222222222222222
BN Cooper,589,497,24.0,118.51106639839035,24.541666666666668
BN Toube,142,162,9.0,87.65432098765432,15.777777777777779
BOP Fernando,94,64,3.0,146.875,31.333333333333332
BP Adapaka,2,2,0.0,100.0,2.0
BR Dunk,62,42,3.0,147.61904761904762,20.666666666666668
BR McDermott,108,105,4.0,102.85714285714285,27.0
BRM Taylor,579,457,21.0,126.69584245076587,27.571428571428573
BS Fulmali,18,20,1.0,90.0,18.0
BS Sandhu,2,5,1.0,40.0,2.0
BS Stephenson,89,70,4.0,127.14285714285714,22.25
BTJ Wheal,13,11,0.0,118.18181818181819,13.0
BV Save,16,17,2.0,94.11764705882352,8.0
BV Sears,12,13,2.0,92.3076923076923,6.0
BW Hilfenhaus,2,10,2.0,20.0,1.0
BYA Mendis,320,358,27.0,89.3854748603352,11.851851851851851
Babar Ali,7,12,2.0,58.333333333333336,3.5
Babar Azam,2401,1908,57.0,125.83857442348008,42.12280701754386
Babar Hayat,1141,946,49.0,120.61310782241014,23.285714285714285
Bakhtiar Tahiri,126,125,5.0,100.8,25.2
Baljinder Singh,6,9,1.0,66.66666666666666,6.0
Baljit Singh,57,48,3.0,118.75,19.0
Baseer Khan,98,62,3.0,158.06451612903226,32.666666666666664
Basharat Hussain,3,11,1.0,27.27272727272727,3.0
Bashir Shah,2,2,0.0,100.0,2.0
Basil Hameed,471,328,20.0,143.59756097560975,23.55
Batool Fatima,3,6,2.0,50.0,1.5
Baz Aybui,6,12,1.0,50.0,6.0
Bella Poon,41,67,4.0,61.19402985074627,10.25
Ben Jones,40,43,0.0,93.02325581395348,40.0
Benjamin Constanzo,1,8,1.0,12.5,1.0
Benson Chama,0,2,1.0,0.0,0.0
Bhumeshswar Jagroo,4,8,1.0,50.0,4.0
Bibina Baby,0,11,1.0,0.0,0.0
Bijeyata Kumari,35,121,6.0,28.92561983471074,5.833333333333333
Bilal Ahmad Mir,40,47,4.0,85.1063829787234,10.0
Bilal Hassun,45,40,6.0,112.5,7.5
Bilal Khan,11,16,2.0,68.75,5.5
Bilal Masud,147,146,6.0,100.68493150684932,24.5
Bilal Muhammad,74,40,5.0,185.0,14.8
Bilal Safdar,69,76,5.0,90.78947368421053,13.8
Bilal Shah,1,1,0.0,100.0,1.0
Bilal Tahir,254,199,18.0,127.63819095477386,14.11111111111111
Bilal Zalmai,524,350,17.0,149.71428571428572,30.823529411764707
Bipin Kumar,2,6,1.0,33.33333333333333,2.0
Bismah Maroof,1250,1274,42.0,98.11616954474097,29.761904761904763
Boio Ray,11,14,1.0,78.57142857142857,11.0
Bosco Tuyizere,67,77,4.0,87.01298701298701,16.75
Breeze Ahir,53,78,7.0,67.94871794871796,7.571428571428571
Brima Ansumana,7,21,1.0,33.33333333333333,7.0
Bukhar Illikkal,6,9,1.0,66.66666666666666,6.0
Busra Uca,5,23,0.0,21.73913043478261,5.0
C Abel,29,45,2.0,64.44444444444444,14.5
C Agafili,69,74,4.0,93.24324324324324,17.25
C Anayo,1,1,0.0,100.0,1.0
C Atkins,1,2,1.0,50.0,1.0
C Aweko,22,34,7.0,64.70588235294117,3.142857142857143
C Bah,93,89,8.0,104.49438202247192,11.625
C Bayraktar,3,7,1.0,42.857142857142854,3.0
C Beckford,0,3,1.0,0.0,0.0
C Bevin,15,14,1.0,107.14285714285714,15.0
C Bisson,70,52,7.0,134.6153846153846,10.0
C Bogdanos,25,33,0.0,75.75757575757575,25.0
C Bosch,53,59,5.0,89.83050847457628,10.6
C Boyle,2,12,2.0,16.666666666666664,1.0
C Brennan,238,185,7.0,128.64864864864865,34.0
C Breteche,3,27,3.0,11.11111111111111,1.0
C Brits,72,70,3.0,102.85714285714285,24.0
C Brown,6,15,2.0,40.0,3.0
C Bull,163,205,7.0,79.51219512195122,23.285714285714285
